id	stem	gloss	part_of_speech	strongs_list
26	announce	(complex) to announce a plan, holiday, etc	Verb	G0312,G0518,G1861,G2097,G4283
27	annoy	(LDV) to make someone feel slightly angry and unhappy	Verb	G1776,G3926,G5299
28	anoint	(complex) to anoint someone for a special purpose	Verb	H1878,H4886,H5258,H5480
29	anoint	(complex) to anoint someone to do something (e.g., God anointed His son to save His people.)	Verb	H1878,H4886,H5258,H5480
30	answer	"(LDV) direct speech in response to a question (Jesus answered the scribes, ""..."")"	Verb	G3361,H6600
31	answer	(LDV) God answers a prayer	Verb	G3361,H6600
32	answer	(LDV) to answer a question (Steve answered the question.)	Verb	G3361,H6600
33	appear	(LDV) to become visible (suddenly an angel appeared)	Verb	G5324,G3854,G4836,G3708,H2224
34	appear	(LDV) to look like something to someone (the angel appeared/looked like a flame)	Verb	G5324,G3854,G4836,G3708,H2224
35	appear	(LDV) to make oneself visible to someone	Verb	G5324,G3854,G4836,G3708,H2224
36	appoint	(complex) to choose someone (The president appointed John.)	Verb	G1928
37	appoint	(complex) to choose someone to do something (John appointed Mary to lead the group.)	Verb	G1928
38	approach	(complex) to move towards or nearer to someone or something	Verb	H7126,H0579,G4331,G4334,H7132
39	approve	(LDV) to approve of something	Verb	G1381,G2106,G0588
40	argue	(LDV) to argue with someone, quarrel about something (John argued with Mary about the problem.)	Verb	H3198
41	argue	(LDV) to argue or debate with someone about an event (John argued with Mary about who should wash the dishes.)	Verb	H3198
42	arrest	(complex) to arrest someone for doing something	Verb	H4223,G4912,G4084,G2694,G4815
43	arrive	(LDV) to arrive at a location from somewhere	Verb	G2240,G2185,H4291,G1920,H0857
44	ask	(LDV) to ask someone a question (Steve asked Mary a question.)	Verb	G4319,G0154,G1871,G1905
45	ask	(LDV) to request something from someone (John asked Mary for some bread.)	Verb	G4319,G0154,G1871,G1905
46	ask	(LDV) to ask someone to do something (Mary asked John to read a book.)	Verb	G4319,G0154,G1871,G1905
47	ask	(LDV) to ask someone about something (John asked Mary about the problem.)	Verb	G4319,G0154,G1871,G1905
48	ask	"(LDV) to ask someone a question with direct speech (John asked Mary, ""Why ... ?"")"	Verb	G4319,G0154,G1871,G1905
49	ask	(LDV) to ask someone a question using indirect speech (John asked Mary if she went to the library.)	Verb	G4319,G0154,G1871,G1905
50	assist	(complex) paired with 'to help'	Verb	G4943,G4878
51	attach	(LDV) someone connects something to something else	Verb	G0680
52	attack	(LDV) an army attacks a country or city	Verb	H7853,G3731
53	attack	(LDV) an animal attacks a person or another animal	Verb	H7853,G3731
54	attack	(LDV) a person or small group of people attack a person	Verb	H7853,G3731
55	attack	(LDV) a man attacks a woman in a sexual way (attempts to rape)	Verb	H7853,G3731
56	attend	(LDV) to go someplace regularly	Verb	H7365,H8334,G4902
57	attend	(LDV) to go to something just once (John attended the conference.)	Verb	H7365,H8334,G4902
58	attract	(LDV) to make someone like something and move toward it	Verb	
59	avoid	(LDV) to stay away from something	Verb	G1301,G0665,G5442
60	bake	(LDV) to cook something in an oven	Verb	H5746
61	baptize	(complex) to put a person into water for a short time Sometimes 'baptize' is paired with 'dip' which takes a Destination NP, and sometime 'baptize' is paired with 'wash' which takes an Instrument NP.	Verb	
62	baptize	(complex) used for spiritual baptism	Verb	
63	be	(LDV) equative with object complements (The problem is that John read this book.).	Verb	G4856,G0091,G4409,G5348,H7251
64	be	(universal primitive) equative (John is the man who was here.)	Verb	G4856,G0091,G4409,G5348,H7251
65	be	(LDV) class membership (John is a human.)	Verb	G4856,G0091,G4409,G5348,H7251
66	be	(LDV) predicative (John is tall.)	Verb	G4856,G0091,G4409,G5348,H7251
67	be	(universal primitive) existential (There are lions in Africa.)	Verb	G4856,G0091,G4409,G5348,H7251
68	be	(universal primitive) locative (John is under the table.) - an adposition is always included with this sense	Verb	G4856,G0091,G4409,G5348,H7251
69	be	(LDV) benefactive (This book is for John.)	Verb	G4856,G0091,G4409,G5348,H7251
70	be	(LDV) temporal (The party was in the afternoon.)	Verb	G4856,G0091,G4409,G5348,H7251
71	be	(LDV) accompaniment (John is with Mary.)	Verb	G4856,G0091,G4409,G5348,H7251
72	be	(LDV) date (The date was June 2nd.)	Verb	G4856,G0091,G4409,G5348,H7251
73	be	(LDV) name (The man's name is John.)	Verb	G4856,G0091,G4409,G5348,H7251
74	be	(LDV) social role (John is a doctor.)	Verb	G4856,G0091,G4409,G5348,H7251
75	be	(LDV) kinship role (John is Mary's brother.)	Verb	G4856,G0091,G4409,G5348,H7251
76	be	(LDV) time (The time was 4 pm.)	Verb	G4856,G0091,G4409,G5348,H7251
77	be	(LDV) ambience (The weather is hot.)	Verb	G4856,G0091,G4409,G5348,H7251
78	be	(LDV) depiction (This story is about John.)	Verb	G4856,G0091,G4409,G5348,H7251
79	be	(LDV) substance (The house is made of wood.)	Verb	G4856,G0091,G4409,G5348,H7251
80	be	(LDV) partitive (The leg is part of the body.)	Verb	G4856,G0091,G4409,G5348,H7251
81	be	(LDV) age (John is 20 years old.)	Verb	G4856,G0091,G4409,G5348,H7251
82	be	(LDV) place of origin and/or place where one grew up (e.g. Jesus was from Nazareth.)	Verb	G4856,G0091,G4409,G5348,H7251
83	be	(LDV) to be like something, to resemble something (John is like Peter.)	Verb	G4856,G0091,G4409,G5348,H7251
84	be	(LDV) predicative with subject complements (It is true that ...)	Verb	G4856,G0091,G4409,G5348,H7251
85	be	(LDV) to be in a tribe or group (John is in the tribe of Levi. Bill is in the army.)	Verb	G4856,G0091,G4409,G5348,H7251
86	be	(LDV) metaphorical, may be expressed like 'be-B' or 'be-U'	Verb	G4856,G0091,G4409,G5348,H7251
87	be	(LDV) takes a complement clause (This song's name is 'God helps me'.)	Verb	G4856,G0091,G4409,G5348,H7251
88	be-fulfilled	(complex) a prophecy is fulfilled	Verb	
89	beat	(LDV) to repeatedly hit a person or animal in order to punish him	Verb	G0348
90	beat	(LDV) to repeatedly hit something with your fists (for purposes other than punishment)	Verb	G0348
91	beat	(LDV) to repeatedly hit and/or kick a person or animal in order to hurt him	Verb	G0348
92	become	(LDV) predicative (John's clothes became white)	Verb	G2450,G2691,H7937,G3854,G3471
93	become	(LDV) class membership (John became a man)	Verb	G2450,G2691,H7937,G3854,G3471
94	become	(LDV) social role (John became a servant)	Verb	G2450,G2691,H7937,G3854,G3471
95	become	(LDV) equative (John's descendants became a nation.)	Verb	G2450,G2691,H7937,G3854,G3471
96	become	(LDV) kinship (John became a father)	Verb	G2450,G2691,H7937,G3854,G3471
97	become	(LDV) ambience (The weather became a storm)	Verb	G2450,G2691,H7937,G3854,G3471
98	become	(LDV) to become like something or someone (John became like his father.)	Verb	G2450,G2691,H7937,G3854,G3471
99	become	(LDV) substance (The stones became bread.)	Verb	G2450,G2691,H7937,G3854,G3471
100	become	(LDV) temporal	Verb	G2450,G2691,H7937,G3854,G3471
101	become	(LDV) used in metaphors	Verb	G2450,G2691,H7937,G3854,G3471
102	beg	(complex) to anxiously or urgently ask someone to do something	Verb	G1189,G3868
103	beg	(complex) to ask for money or food so that one can live	Verb	G1189,G3868
104	beg	"(complex) takes a direct quote (The blind man begged Jesus, ""I want to see."")"	Verb	G1189,G3868
105	beg	(complex) to urgently ask someone for something (John begged Mary for that book.)	Verb	G1189,G3868
106	begin	(LDV) a temporal event begins (the feast begins on this day)	Verb	G2020,G5225
107	behave	(LDV) to act in some way (John behaved rudely/oddly/well.)	Verb	G4176
108	behold	(complex) to look, paired with 'to look' or 'to listen'	Verb	G4308,G2529
109	believe	(LDV) to believe what someone says	Verb	H0539,H0540
110	believe	(LDV) to believe in, or have faith in someone	Verb	H0539,H0540
111	believe	(LDV) to believe that an event happened or will happen (John believes that Mary will go to the party.)	Verb	H0539,H0540
112	belong	(LDV) to belong to someone	Verb	G1911,G3348
113	bend	(LDV) to become curved and no longer flat or straight	Verb	G3879,G2578,G2955,H3719,G4781
114	bend-over	(complex) to bend over in order to get lower, perhaps to see or touch something that is low (John bent over to look under the table.)	Verb	
115	betray	(complex) to help a person's enemies arrest the person	Verb	H7411
116	betray	(complex) to treat a friend badly	Verb	H7411
117	bind	(complex) to tie something to something else	Verb	G2224,G1210,H6105,G4887,G5265
118	birth	(LDV) a woman gives birth to a child	Verb	G1079
119	bite	(LDV)	Verb	G1143
120	blame	(LDV) to blame someone for doing something (Mary blamed John for breaking the window.)	Verb	G3201,G3437
121	blame	(LDV) to blame someone, but no reason is given	Verb	G3201,G3437
122	blame	(LDV) to blame someone for an event (Mary blamed John for Bill breaking the window.)	Verb	G3201,G3437
123	blaspheme	(complex) to insult God	Verb	H4167
124	bleed	(LDV) to bleed due to a cut or wound	Verb	
125	bleed	(LDV) to bleed due to menstruation	Verb	
126	bless	(complex) someone says that good things will happen to someone else	Verb	H1288,H1289,G2127
127	bless	(complex) to prosper someone, cause good things to happen to someone	Verb	H1288,H1289,G2127
128	blow	(LDV) the wind blows	Verb	H5380,G1720,H5061,H4112
129	blow	(LDV) a person blows with his mouth	Verb	H5380,G1720,H5061,H4112
130	blow	(LDV) to move something by blowing (the wind/boy blew the paper)	Verb	H5380,G1720,H5061,H4112
131	boast	(complex) to talk proudly about something	Verb	G2745
132	boast	(complex) to talk proudly about someone doing something (John boasted that he read all of those books.)	Verb	G2745
133	boast	(complex) to talk about a good accomplishment; not sinful (Paul boasted about the Thessalonians.)	Verb	G2745
134	boil	(LDV) to boil something in a hot liquid	Verb	H7570,H2914
135	born	(LDV) to be born (John was born in California.)	Verb	G2061,G1084,H3211,H3209
136	borrow	(LDV) to borrow from someone something	Verb	H3867,G1155,H5383
137	bother	(complex) to bother someone	Verb	
138	bow	(complex) to bow down before someone.  This is the position typically assumed before a king.  When someone prays, the word 'kneel' is used to describe the position.	Verb	G5115,H7198
139	break	(LDV) to break something into multiple pieces	Verb	H6586,G2622,H6202,H6476,G2806
140	break	(LDV) to break a bone (John broke his leg.)	Verb	H6586,G2622,H6202,H6476,G2806
141	break	(LDV) to break a law, disobey	Verb	H6586,G2622,H6202,H6476,G2806
142	break	(LDV) something breaks (intransitive)	Verb	H6586,G2622,H6202,H6476,G2806
143	break	(LDV) to break a promise (John broke the promise he made.)	Verb	H6586,G2622,H6202,H6476,G2806
144	breathe	(LDV) to take air into your lungs and let it out again	Verb	H0599,G5594,G0674,H0014,H5689
145	breathe	(LDV) to blow air into something	Verb	H0599,G5594,G0674,H0014,H5689
146	bring	(LDV) to carry something to someone or someplace	Verb	H2987
147	bring	(LDV) to have someone accompany someone else to someplace	Verb	H2987
148	bring	(LDV) to bring or lead a living animal to someone (The disciple brought the colt to Jesus.)	Verb	H2987
149	build	(LDV) to construct a building or artifact	Verb	G2026,H1124,H1129
150	build	"(LDV) to found, start, ""build"" something like a country, city or organization"	Verb	G2026,H1124,H1129
151	burn	(LDV) to burn something with fire (John burned his old books.)	Verb	H3341,H6866,G2739,G2618,H3344
152	burn	(LDV) something burns (intransitive) (The house burned.) 	Verb	H3341,H6866,G2739,G2618,H3344
153	burn	(LDV) fire burns something (The fire burned their clothes.)	Verb	H3341,H6866,G2739,G2618,H3344
154	burst	(LDV) a container bursts open from a force inside	Verb	H7665
155	bury	(LDV) to bury a dead person	Verb	
156	bury	(LDV) to bury an object someplace	Verb	
157	buy	(LDV) to purchase something from someone with some amount of money	Verb	G1805
158	calculate	(LDV) to find out how much something will cost by using numbers	Verb	
159	call	(LDV) to summon someone	Verb	G3870,G4292,H7121,G2019,G4341
160	call	(LDV) to give someone or something a name (He called him 'Peter'.)	Verb	G3870,G4292,H7121,G2019,G4341
161	call	(LDV) to call someone by a descriptive name (People called Naomi 'Mara'.)	Verb	G3870,G4292,H7121,G2019,G4341
162	camp	(LDV) to camp	Verb	G0063,G2681
163	cancel	(complex) to end an agreement or obligation (John canceled Bill's debt.)	Verb	H3722
164	capture	(complex) to take someone as prisoner; paired with 'to catch'	Verb	G0162,G0259
165	capture	(complex) to capture a town or thing (e.g., chariots)	Verb	G0162,G0259
166	care	(LDV) to care for someone or some animal's physical needs	Verb	G3338,G4305,G1959
167	care	(LDV) to have concern about someone or something	Verb	G3338,G4305,G1959
168	care	(LDV) to care for, be in charge of something, like a house	Verb	G3338,G4305,G1959
169	carry	(LDV) to carry something from somewhere to somewhere	Verb	H5445,G4135,G1533
170	carry	(LDV) a person or animal carries a disease or germs	Verb	H5445,G4135,G1533
171	carry	(LDV) to carry something with you on a regular basis (Mary carried her purse.)	Verb	H5445,G4135,G1533
172	carve	(simple) to carve a picture in wood or stone	Verb	H2707,H6458
173	catch	(LDV) to catch a person or animal after chasing them (The policeman caught the thief.)	Verb	H3920,H5400
174	catch	(LDV) to catch something that is falling (John caught the vase.)	Verb	H3920,H5400
175	catch	(LDV) to catch a fish with a net or an animal with a trap (John caught a fish.)	Verb	H3920,H5400
176	catch	(LDV) to catch a disease (John caught a cold.)	Verb	H3920,H5400
177	catch	(LDV) to catch something that has been thrown to you (John caught the ball.)	Verb	H3920,H5400
178	catch	(LDV) to catch something by entanglement (e.g., The branches caught Absalom's hair.)	Verb	H3920,H5400
179	catch-up	(LDV) to catch up with someone after chasing them	Verb	
180	cause	(LDV) to cause something to happen	Verb	G1913,G1096,G1669,G0307,G2601
181	cause	(LDV) to cause something like a problem (takes a Patient NP)	Verb	G1913,G1096,G1669,G0307,G2601
182	celebrate	(LDV) to celebrate in general, not for a specific holiday or event	Verb	G2290
183	celebrate	(LDV) to celebrate a specific holiday or event (Our family celebrated Christmas.)	Verb	G2290
184	change	(LDV) to become something else (stick changed into a snake)	Verb	G1259,G3327,G0525,G2644,H8136
185	change	(LDV) to change your mind about something ('mind' is not included in the semantic representation)	Verb	G1259,G3327,G0525,G2644,H8136
186	change	(LDV) someone changes something into something else (Jesus is able to change stones into bread.)	Verb	G1259,G3327,G0525,G2644,H8136
187	change	(LDV) to change something so that it's different (e.g. They want to change the laws.)	Verb	G1259,G3327,G0525,G2644,H8136
188	change	(LDV) to change something from one thing to another thing	Verb	G1259,G3327,G0525,G2644,H8136
189	change	(LDV) intransitive (Mary's personality changed.)	Verb	G1259,G3327,G0525,G2644,H8136
190	charge	(LDV) to demand money for something (That store charges $25 for each book.)	Verb	G2723,G1985,G4256,H6485,G1863
191	chase	(LDV) to run after someone with the intention of catching him and harming him	Verb	H6658,H6718
192	chase-away	(LDV) to run after someone with the intention of scaring him away	Verb	
193	cheat	(LDV) to cheat someone	Verb	H8266,H8591,G0538
194	check	(LDV) to check a report or story to make sure it's true	Verb	G0348
195	chew	(LDV) to chew food	Verb	G3145,H7170
196	choke	(complex) to squeeze someone's throat  (John choked Bill.)	Verb	H2614
197	choose	(LDV) to pick a person or thing from among a set of choices	Verb	G4255
198	choose	(LDV) to choose someone to do something (John chose Mary to organize the party.)	Verb	G4255
199	choose	(LDV) to choose to do something (John chose to study for the test.)	Verb	G4255
200	circumcise	(complex) to cut off the foreskin of a boy or man	Verb	G4059,H4135
201	claim	(complex) to state that something is true	Verb	
202	clean	(LDV) to clean something	Verb	G2513,H5343
203	climb	(LDV) to climb something like a tree or mountain	Verb	
204	climb	(LDV) a child playfully climbs on an adult (The baby climbed on his father.)	Verb	
205	close	(LDV) to close something like a door, gate, or window	Verb	H2856,H0332,G2808,G0608,H0331
206	close	(LDV) to close something like a book	Verb	H2856,H0332,G2808,G0608,H0331
207	close	(LDV) to close one's eyes	Verb	H2856,H0332,G2808,G0608,H0331
208	close	(LDV) to close one's mouth	Verb	H2856,H0332,G2808,G0608,H0331
209	collect	(LDV) to collect things	Verb	G5166,G4816,G1996,H3664
210	comb	(LDV) to comb hair	Verb	H6688
211	combine	(LDV) to put two things together	Verb	G4820
212	come	(LDV) to move to somewhere (toward the action) from somewhere	Verb	H5487,G3928,G1880,G4022,G2718
213	come	(LDV) an abstract comes (Salvation comes through Jesus Christ.)	Verb	H5487,G3928,G1880,G4022,G2718
214	come-down	(LDV) to come down from a higher place	Verb	
215	come-out	(LDV) to come out from some place (John came out of the library.)	Verb	
216	come-up	(LDV) to come up from a lower place	Verb	
217	comfort	(LDV) to comfort someone	Verb	H2210,H5117
218	command	(LDV) to command someone to do something	Verb	H4687
219	command	(LDV) direct speech (Yahweh commands you, 'Go ...')	Verb	H4687
220	command	(LDV) to be responsible for giving orders to a group of people (John commands many soldiers.)	Verb	H4687
221	compare	(LDV)	Verb	H1819,G5143,G1377,G0030,G2487
222	complain	(LDV) to complain to someone about something	Verb	G1234
223	complete	(LDV) to finish or fulfill something	Verb	H3634,G0658,H3635,G0378,G5048
224	concern	(complex) to be concerned about someone (Mary was concerned about John.)	Verb	G3199,G4579,G5426
225	condemn	(complex) to decide to punish someone	Verb	G2919,H2398
226	condemn	(complex) to decide that a person is guilty	Verb	G2919,H2398
227	confess	(complex) to confess one's sins to someone	Verb	G0437
228	confess	(complex) to confess doing something (Mary confessed that she took the book.)	Verb	G0437
229	confuse	(LDV)	Verb	
230	conquer	(complex) to completely defeat a group of people	Verb	G2358,H3533,H7286,H7857,H1986
231	consecrate	(complex) to give or to separate something entirely to God	Verb	H4886,G5548,G0037
232	consider	(LDV) to think carefully about something, especially before making a decision	Verb	G1834,G4306,G0872
233	consider	(LDV) to think carefully about an event (Good people consider all things to be good.)	Verb	G1834,G4306,G0872
234	consist	(LDV)	Verb	
235	conspire	(complex) to secretly plan with someone to do something illegal (John and Bill conspired to rob the store.)	Verb	
236	contain	(simple) to contain or hold a liquid	Verb	H0662
237	contain	(simple) something is inside something else (The bread contains yeast.)	Verb	H0662
238	continue	(LDV) continue - used only in analyzer	Verb	G4800
239	control	(LDV) to control someone or something	Verb	G1850
240	cook	(LDV) to prepare food over a source of heat (Mary cooked the meat.)	Verb	H0644
241	copy	(LDV) to make or produce something that is like another thing (John copied part of that book.)	Verb	G5261,H4932,G0583,H4385,G5481
242	correct	(complex) paired with 'to judge'	Verb	H5228,H3198,G4994
243	cost	(LDV) the amount of money you have to pay to buy something (That book costs $10.)	Verb	G1159,H2600
244	cough	(LDV) to cough when you have a cold	Verb	
245	count	(LDV) to count something	Verb	G4785,H4483
246	cover	(LDV) to cover someone with a blanket	Verb	G3871,H3722,H2645,H7159,H0898
247	cover	(LDV) to put something on top of or over something else	Verb	G3871,H3722,H2645,H7159,H0898
248	cover	(LDV) something (like a cloud) covers something	Verb	G3871,H3722,H2645,H7159,H0898
249	cover	(LDV) something covers something else	Verb	G3871,H3722,H2645,H7159,H0898
250	covet	(complex) to want to own something that belongs to someone else	Verb	
251	crash	(LDV) to have an accident in a vehicle by violently hitting something else	Verb	G4431,H7452
252	crawl	(complex) to move on your legs or stomach	Verb	H2119
253	create	(complex) to create something (from nothing); paired with 'to make'	Verb	H1254,H7069,G2680
254	criticize	(complex)  to say bad things about something	Verb	
255	cross	(LDV) roads come together and then separate (The paths cross near the big tree.)	Verb	H5674,G1276,G1224
256	crowd	(complex) people crowd around someone (e.g., The people crowded around Jesus.)	Verb	G1776,H1413,H1464,G0598,G2346
257	crucify	(complex) to kill someone by putting them on a cross	Verb	
258	crush	(LDV) to break something into pieces by smashing it	Verb	H4277,G4937,H1638,H1854,H6331
259	cry	(LDV) to cry with tears (The Beneficiary NP is the reason for the crying.)	Verb	G2752,H4798,H4797
260	cry-out	(LDV) to cry out in desperation to someone (e.g., John cried out to Mary.)	Verb	
261	cry-out	(LDV) to cry out to someone with a direct quote	Verb	
262	curse	(complex) to curse someone (verbal abuse)	Verb	H1288,H1289,H4045
263	curse	(complex) to put a curse on someone	Verb	H1288,H1289,H4045
264	curse	(complex) to say that very bad things will happen to someone (Jesus cursed the fig tree.)	Verb	H1288,H1289,H4045
265	curse	(complex) to say very bad words (John became angry and started cursing.)	Verb	H1288,H1289,H4045
266	cut	(LDV) to cut something (John cut that fish with this knife.)	Verb	H1333,H7096,G1465,H8158,H2673
267	cut-off	(LDV) to cut-off something (like John the Baptist's head)	Verb	
268	cut-down	(LDV) to cut down something (a plant)	Verb	
269	damage	(LDV)  to cause physical harm to something or to part of someone’s body	Verb	H5533
270	dance	(LDV) to dance	Verb	G3738,H3769,H4246
271	debate	(complex) to discuss a subject formally when you are trying to make a decision or find a solution	Verb	G2213,G1261
272	decay	(LDV) to rot, be slowly destroyed	Verb	H7843,H7537,G1312,H7538,H7539
273	deceive	(LDV) to cause someone to believe something that is not true	Verb	G5574,H1589,H3576
274	decide	(LDV) to determine a course of action for yourself (John decided to go to class.)	Verb	G5271,H6518
275	decide	(LDV) to make a decision about someone else (John decided that Mary should go to class.)	Verb	G5271,H6518
276	declare	(complex) someone in authority pronounces that an event is to happen (The king declared that ...)	Verb	G0332
277	declare	"(complex) someone in authority pronounces with a direct quote (The king declared, ""..."")"	Verb	G0332
278	dedicate	(complex) to give a child or object to God	Verb	
279	defeat	(LDV) one army or country defeats another army or country in a war	Verb	H2476
280	defeat	(LDV) one individual defeats another individual in a fight	Verb	H2476
281	defecate	(universal) to get rid of the solid waste from one's intestines	Verb	
282	defend	(LDV) to fight on behalf of someone against someone	Verb	H7378
283	defile	(complex) something defiles or makes something unholy	Verb	
284	deliver	(LDV) to deliver a message, letter, or package to someone	Verb	H6561,H2502,G1239,H2836,H6403
285	demand	(LDV) to demand that someone do something  (The Egyptians demanded that the Israelites work harder.)	Verb	G1809,G0523
286	demand	"(LDV) to demand using a direct quote (The king demanded, ""..."")"	Verb	G1809,G0523
287	demand	(LDV) to demand a thing (John demanded more money.)	Verb	G1809,G0523
288	demolish	(complex) to totally destroy something	Verb	H7567,H2718
289	depend	(LDV) to rely on someone/something	Verb	
290	describe	(LDV) to describe something to someone	Verb	H2328
291	deserve	(LDV) to deserve to do something	Verb	
292	deserve	(LDV) deserve a noun phrase	Verb	
293	deserve	(LDV) deserve that clause without same agent	Verb	
294	desire	(complex) paired with 'to want', to desire a thing (John desires that car.)	Verb	H8373,H2968,H0176,H7470,H8375
295	desire	(complex) to want to do something yourself, paired with 'to want'	Verb	H8373,H2968,H0176,H7470,H8375
296	desire	(complex) to desire or want that someone else do something (Mary desired that John read that book.)	Verb	H8373,H2968,H0176,H7470,H8375
297	despise	(complex) to hate someone and have a low opinion of him, paired with 'to hate'	Verb	H5034,H1163,G1847
298	destroy	(LDV) to destroy something like a house or city	Verb	H7738,G4881,G0622
299	destroy	(LDV) to destroy, kill, or annihilate living creatures	Verb	H7738,G4881,G0622
300	determine	(complex) to decide something or learn something	Verb	G2309
301	determine	(complex) to learn something (John determined that Mary already read that book.)	Verb	G2309
302	detest	(complex) paired with 'to hate'	Verb	G3404,G0655,H1602
303	devour	(complex) to eat something quickly and completely	Verb	G2719
304	die	(LDV) to stop being alive	Verb	H4191,G0599,G2348,G5179,G2819
305	dig	(LDV) to dig a hole or grave in the ground (John dug a hole.)	Verb	H3009,H1461,G4626,H0874,G1846
306	dip	(LDV) to momentarily put something into a liquid and then pull it out	Verb	H2881,H6647
307	disagree	(complex) to think that someone else is wrong	Verb	
308	discipline	(complex) to punish; paired with 'to train'	Verb	G4995
309	discipline	(complex) to punish; paired with 'to punish'	Verb	G4995
310	discover	(LDV) to find out something	Verb	H7912
311	discuss	(LDV) to talk about something in order to make a decision	Verb	G4802,G1256
312	dishonor	(LDV) to treat someone/something badly so that other people lose respect (e.g., John dishonored Mary/the temple/the book.)	Verb	
313	distribute	(complex) to share things among a group of people	Verb	G1268
314	divide	(LDV) to divide something into 2 or more sections	Verb	H0909,H0914
315	divide	(LDV) a river divides into several smaller rivers	Verb	H0909,H0914
316	divorce	(complex) one person ends their marriage to another person	Verb	G3080,H3748,H7964,G0630,H1644
317	do	(universal primitive) to do a generic action	Verb	G4121,H5648,G4364,G2569,H6466
318	doubt	(LDV) to think that an event probably didn't happen (John doubts that Mary read that book.)	Verb	
319	doubt	(LDV) to think that something probably didn't happen, but no object complement clause	Verb	
320	drag	(complex) to pull someone somewhere where they do not want to go	Verb	H1641,G1828,G4049,G0645,G1670
321	draw	(LDV) to produce a picture of something using a pencil or pen	Verb	G1288,H7953,G1986,H7092,H4900
322	dream	(LDV) to dream about something	Verb	H1957,G1797,G3677,H2493,H2472
323	dream	(LDV) to have a dream while sleeping (John dreamed.)	Verb	H1957,G1797,G3677,H2493,H2472
324	dream	(LDV) to dream that something happens (John dreamed that he went to Oregon.)	Verb	H1957,G1797,G3677,H2493,H2472
325	drink	(LDV) to drink something	Verb	G3184,G2666,H4960
326	drop	(LDV) to drop something intentionally	Verb	H7997,G1601,H5198,H4752
327	drop	(LDV) to drop something unintentionally	Verb	H7997,G1601,H5198,H4752
328	drown	(complex) to drown, to die in water	Verb	G1036,G4846,G4155
329	dry	(LDV) to dry something with a towel, to remove water with a towel (John dried the dishes.)	Verb	H6784,H5685,H3007,H3006,H2842
330	dwell	(complex) to live with someone	Verb	G3939
331	dye	(complex) to change the color of something	Verb	H6320,H6648
332	earn	(LDV) to work in order to receive money	Verb	G1281
333	eat	(LDV) to consume something (food)	Verb	G5315,G0977,H2628,G2719,H4415
334	embalm	(complex) to prepare a body for burial	Verb	H2590
335	embarrass	(LDV) to embarrass someone (John embarrassed Mary by being rude to her friend.)	Verb	
336	employ	(LDV) to pay a person to do work	Verb	G5530
337	empty	(LDV) to take everything out of something (John emptied the bucket.)	Verb	G2757,G2756,G3152,G2754,H7386
338	enable	(complex) to make it possible for someone to do something	Verb	G2427,G1412
339	encourage	(LDV) to encourage someone, to cheer him up	Verb	G3888,G4389
340	encourage	(LDV) to encourage, urge someone to do something	Verb	G3888,G4389
341	end	(LDV) a temporal event ends (the feast ends on this day)	Verb	G5055,H1584,H3615
342	end	(LDV) a border or road ends at a certain place	Verb	G5055,H1584,H3615
343	end	(LDV) to cause something to end (John ended the event.)	Verb	G5055,H1584,H3615
344	endure	(complex) to remain alive or continue to exist for a long time	Verb	G5159
